Titel,Fach,Art,Themen,Erstellt,Klasse,Zuletzt bearbeitet
Betriebswirtschaft,Betriebswirtschaft,Mitschrift,gesamte Wiederholung,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Konjunktiv 1 und 2,Deutsch,Mitschrift,"Indikativ, Wirklichkeitsform",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
SA – ZF,UNCO,Mitschrift,Abschluss + Kennzahlen,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Literaturgeschichte,Deutsch,Mitschrift,TEXTwärts,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Corona,Recht,Mitschrift,"Impfpflicht, PCR-Tests",18. Dezember 2023 21:18,"1. Semester, 4CHK",18. Dezember 2023 21:18
Rechtschreibfehler,Deutsch,Mitschrift,häufige Rechtschreibfehler,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Artikel-Zusammenfassung,Deutsch,Mitschrift,"""Rekord-Weiß statt Klimaanlage”",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Baustein 6,Deutsch,Zusammenfassung,Textwärts,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Institutionen und Geschichte (EU),"🌏 IWK ",Zusammenfassung,Organe der EU,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Zeitenbildung,Deutsch,Mitschrift,Zeitbildung,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Band 5,Betriebswirtschaft,Zusammenfassung,Band 5,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Arbeitsrecht,Recht,Mitschrift,"Kündigung, Entlassung",18. Dezember 2023 21:18,"2. Semester, 4CHK",18. Dezember 2023 21:18
Management,Betriebswirtschaft,Zusammenfassung,"Managementarten, Führungsstile",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Neutralität,Recht,Mitschrift,"NATO, Ausgehöhung, Staatsvertrag",18. Dezember 2023 21:18,"1. Semester, 4CHK",18. Dezember 2023 21:18
Besonderheiten der Wirtschaftssektoren,Betriebswirtschaft,Zusammenfassung,"Wirtschaftssektoren, Dienstleistungen",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Erörterung,Deutsch,Mitschrift,Pro und Kontra,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Asylrecht,Recht,Mitschrift,"Europaerweiterungen, Arten von Flüchtlingen",18. Dezember 2023 21:18,"1. Semester, 4CHK",18. Dezember 2023 21:18
Steuerlehre,UNCO,Zusammenfassung,"Einkommensteuer, Gewinnfreibetrag",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Sozialrecht,Recht,Mitschrift,Pensionssplitting,18. Dezember 2023 21:18,"2. Semester, 4CHK",18. Dezember 2023 21:18
Wahrscheinlichkeitsrechnung,Mathematik,Mitschrift,"Beispiele, Gegenwahrscheinlichkeit",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Textanalyse,Deutsch,Mitschrift,Wichtigsten Informationen zur Textanalyse,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Test Korrektur,Betriebswirtschaft,Mitschrift,Korrektur Test,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Finanzmathematik,Mathematik,Zusammenfassung,Finanzmathematik & Investitionsrechnung,18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Differenzialrechnung,Mathematik,Mitschrift,Momentane Änderung,18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Queen Elisabeth II.,Englisch,Mitschrift,"Death, 911",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
"Complaint ",Englisch,Mitschrift,Business Correspondents,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Leutnant Gustl,Deutsch,Mitschrift,Hörbuch Begriffe,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Unternehmenssteuerung und Controlling,Betriebswirtschaft,Zusammenfassung,"Tools, Aufgaben des Controlling, …",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Sachenrecht,Recht,Mitschrift,"Eigentumsrecht, …",18. Dezember 2023 21:18,"1. Semester, 4CHK",18. Dezember 2023 21:18
Krisenmanagement,Betriebswirtschaft,Zusammenfassung,"Krisenverlauf, Zahlungsunfähigkeit",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
ZF: Band 2 und 5,Betriebswirtschaft,Zusammenfassung,Wichtigsten Bereiche,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
2. SA ZF,Betriebswirtschaft,Zusammenfassung,"Band 3, 4, 5",18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Application,Englisch,Zusammenfassung,Job Application,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Test Zusammenfassung,BUNW,Mitschrift,"OSI-Modell, Topologien",18. Dezember 2023 21:18,"2. Semester, 4CHK",18. Dezember 2023 21:18
Unit 13 - Integration,Englisch,Mitschrift,Mobility and Integration,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Unit 7 – Tourism,Englisch,Mitschrift,p. 98 - 111,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Boxplots,Mathematik,Mitschrift,"Durchschnittswerte, Quartile",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Band 2,Betriebswirtschaft,Zusammenfassung,Zusammenfassung Band 2,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Kostenmanagement,Betriebswirtschaft,Mitschrift,,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Wörter-Glossar,Deutsch,Mitschrift,Schwierige Wörter,18. Dezember 2023 21:18,"2CHK, 3CHK, 4CHK, 5CHK",18. Dezember 2023 21:18
Kennzahlen,UNCO,Zusammenfassung,Wichtigsten Kennzahlen,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Mitschriften,UNCO,Mitschrift,Cashflow,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Zusammenfassung,SWPP,Zusammenfassung,"C#, PHP, Laravel",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Winline,UNCO,Mitschrift,Zusammenfassung,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Volkswirtschaft,Volkswirtschaft,Mitschrift,"BIP, BNP, BSP, Konjunktur, Zentralbanken",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
